objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
900004101	0	object/building/military/military_outpost_guard_tower_1.iff	0	602.0	18.0	-438.0	0.70711	0	0.7071	0		$|
900004102	0	object/static/structure/general/tankfarm_s01.iff	0	716.0	15.5	-372.0	0.81915	0	0.57358	0		$|
900004103	0	object/static/structure/general/tankfarm_s01.iff	0	684.0	15.5	-320.0	0.96593	0	0.25882	0		$|
900004104	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	556.0	20.3	-500.0	0.57358	0	0.81915	0		$|
900004105	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	612.0	19.8	-428.0	0.81915	0	0.57358	0		$|
900004106	0	object/tangible/ground_spawning/area_spawner.iff	0	664.0	17.2	-344.0	0.93969	0	0.34202	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|210.000000|fltMinSpawnTime|2|100.000000|fltRadius|2|16.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|6|intSpawnSystem|0|1|registerWithController|0|1|strName|4|taanab_border_patrol|strSpawnerType|4|area|strSpawns|4|taanab/ruin_cultists|$|
900004107	0	object/tangible/ground_spawning/area_spawner.iff	0	736.0	15.2	-280.0	0.70711	0	0.7071	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|220.000000|fltMinSpawnTime|2|120.000000|fltRadius|2|18.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|5|intSpawnSystem|0|1|registerWithController|0|1|strName|4|taanab_range_roamers|strSpawnerType|4|area|strSpawns|4|taanab/wild_bol|$|
900004108	0	object/static/structure/general/campfire_fresh.iff	0	618.0	18.0	-400.0	1	0	0	0		$|
900004109	0	object/static/structure/general/camp_lawn_chair_s01.iff	0	622.0	17.9	-396.0	0.92388	0	0.38268	0		$|
